Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-03-27,85.1,87.0,83.85,85.05,85.54,13544.0,155.0,1158590.0,8581.0,63.36,3.15,-0.05
2018-03-26,85.8,85.8,84.0,84.55,84.61,29696.0,169.0,2512515.0,24521.0,82.57,1.8,-1.25
2018-03-23,88.0,88.0,85.9,86.45,86.41,20022.0,169.0,1730189.0,14045.0,70.15,2.1,-1.55
2018-03-22,89.6,89.6,88.0,88.2,88.52,13874.0,71.0,1228163.0,12447.0,89.71,1.6,-1.4
2018-03-21,89.2,90.35,88.1,88.2,89.37,9545.0,191.0,852999.0,7164.0,75.06,2.25,-1.0
2018-03-20,89.85,90.2,89.0,89.5,89.72,4287.0,94.0,384627.0,2578.0,60.14,1.2,-0.35
2018-03-19,90.7,90.8,87.6,90.65,89.59,4740.0,105.0,424654.0,2073.0,43.73,3.2,-0.05
2018-03-16,94.5,95.25,89.9,90.65,91.92,27955.0,201.0,2569705.0,24206.0,86.59,5.35,-3.85
2018-03-15,91.45,95.95,91.45,93.95,93.26,40342.0,121.0,3762345.0,36353.0,90.11,4.5,2.5
2018-03-14,90.75,91.95,90.7,91.25,91.25,5296.0,79.0,483238.0,2328.0,43.96,1.25,0.5
2018-03-13,91.05,92.75,90.6,92.05,91.29,14388.0,118.0,1313430.0,11848.0,82.35,2.15,1.0
2018-03-12,93.0,93.25,89.0,91.8,90.92,21223.0,271.0,1929496.0,13874.0,65.37,4.25,-1.2
2018-03-09,94.35,94.9,93.35,93.4,94.31,4004.0,68.0,377604.0,2659.0,66.41,1.55,-0.95
2018-03-08,95.65,95.65,93.25,93.95,94.02,42789.0,498.0,4022929.0,38855.0,90.81,2.4,-1.7
2018-03-07,95.6,96.2,94.15,94.65,95.28,15743.0,128.0,1500031.0,8439.0,53.6,2.05,-0.95
2018-03-06,96.1,97.0,95.0,95.35,95.59,17971.0,762.0,1717764.0,13953.0,77.64,2.0,-0.75
2018-03-05,97.25,97.25,95.45,95.6,95.73,4638.0,89.0,443997.0,2781.0,59.96,1.8,-1.65
2018-03-01,96.0,96.75,95.35,95.55,95.85,23560.0,270.0,2258184.0,18019.0,76.48,1.4,-0.45
2018-02-28,96.0,96.45,95.55,96.0,96.0,198612.0,1494.0,19066671.0,197178.0,99.28,0.9,0.0
2018-02-27,97.4,97.4,95.9,96.0,96.51,16858.0,174.0,1626958.0,11063.0,65.62,1.5,-1.4
2018-02-26,96.3,98.0,95.9,97.25,96.94,26881.0,410.0,2605964.0,15488.0,57.62,2.1,0.95
